year,state,age,births
1992,6,35,577
1992,6,40,97
1992,6,45,8
1992,7,15,576
1992,7,20,1001
1992,7,25,1059
1992,7,30,814
1992,7,35,319
1992,7,40,61
1992,7,45,0
1992,8,15,192
1992,8,20,787
1992,8,25,1598
1992,8,30,1355
1992,8,35,447
1992,8,40,96
1992,8,45,6
1993,1,15,4477
1993,1,20,17714
1993,1,25,29902
1993,1,30,26500
1993,1,35,9592
1993,1,40,1559
1993,1,45,104
1993,2,15,2211
1993,2,20,10775
1993,2,25,22638
1993,2,30,20462
1993,2,35,7205
1993,2,40,1129
1993,2,45,35
1993,3,15,3110
1993,3,20,10390
1993,3,25,15704
1993,3,30,12977
1993,3,35,4218
1993,3,40,683
1993,3,45,33
1993,4,15,906
1993,4,20,3722
1993,4,25,6882
1993,4,30,6174
1993,4,35,2200
1993,4,40,380
1993,4,45,25
1993,5,15,1475
1993,5,20,5038
1993,5,25,8596
1993,5,30,7353
1993,5,35,2537
1993,5,40,396
1993,5,45,14
1993,6,15,515
1993,6,20,1613
1993,6,25,2386
1993,6,30,1823
1993,6,35,572
1993,6,40,95
1993,6,45,11
1993,7,15,493
1993,7,20,960
1993,7,25,1082
1993,7,30,782
1993,7,35,311
1993,7,40,59
1993,7,45,9
1993,8,15,200
1993,8,20,805
1993,8,25,1526
1993,8,30,1337
1993,8,35,481
1993,8,40,90
1993,8,45,6
1994,1,15,4275
1994,1,20,17055
1994,1,25,28832
1994,1,30,26407
1994,1,35,10210
1994,1,40,1657
1994,1,45,69
1994,2,15,2228
1994,2,20,10445
1994,2,25,21759
1994,2,30,20745
1994,2,35,7822
1994,2,40,1208
1994,2,45,53
1994,3,15,3065
1994,3,20,10323
1994,3,25,15325
1994,3,30,12863
1994,3,35,4642
1994,3,40,724
1994,3,45,55
1994,4,15,798
1994,4,20,3506
1994,4,25,6587
1994,4,30,6036
1994,4,35,2283
1994,4,40,386
1994,4,45,24
1994,5,15,1550
1994,5,20,5027
1994,5,25,8479
1994,5,30,7329
1994,5,35,2681
1994,5,40,420
1994,5,45,30
1994,6,15,453
1994,6,20,1631
1994,6,25,2312
1994,6,30,1894
1994,6,35,627
1994,6,40,102
1994,6,45,5
1994,7,15,502
1994,7,20,971
1994,7,25,1044
1994,7,30,808
1994,7,35,323
1994,7,40,65
1994,7,45,3
1994,8,15,180
1994,8,20,789
1994,8,25,1441
1994,8,30,1405
1994,8,35,521
1994,8,40,89
1994,8,45,0
1995,1,15,4200
1995,1,20,16523
1995,1,25,28347
1995,1,30,26697
1995,1,35,10716
1995,1,40,1825
1995,1,45,85
1995,2,15,2131
1995,2,20,9723
1995,2,25,21038
1995,2,30,20577
1995,2,35,8048
1995,2,40,1284
1995,2,45,72
1995,3,15,3026
1995,3,20,9981
1995,3,25,15185
1995,3,30,12950
1995,3,35,4854
1995,3,40,797
1995,3,45,46
1995,4,15,846
1995,4,20,3243
1995,4,25,6493
1995,4,30,6088
1995,4,35,2420
1995,4,40,457
1995,4,45,24
1995,5,15,1544
1995,5,20,4936
1995,5,25,8226
1995,5,30,7459
1995,5,35,2860
1995,5,40,468
1995,5,45,26
1995,6,15,417
1995,6,20,1423
1995,6,25,2212
1995,6,30,1867
1995,6,35,706
1995,6,40,138
1995,6,45,12
1995,7,15,536
1995,7,20,969
1995,7,25,1108
1995,7,30,826
1995,7,35,340
1995,7,40,71
1995,7,45,0
1995,8,15,185
1995,8,20,776
1995,8,25,1409
1995,8,30,1337
1995,8,35,539
1995,8,40,90
1995,8,45,2
1996,1,15,4134
1996,1,20,15509
1996,1,25,28058
1996,1,30,26017
1996,1,35,11460
1996,1,40,1891
1996,1,45,68
1996,2,15,1970
1996,2,20,8809
1996,2,25,20408
1996,2,30,20456
1996,2,35,8357
1996,2,40,1342
1996,2,45,81
1996,3,15,3158
1996,3,20,10062
1996,3,25,15530
1996,3,30,13176
1996,3,35,5294
1996,3,40,892
1996,3,45,44
1996,4,15,894
1996,4,20,3201
1996,4,25,6264
1996,4,30,5872
1996,4,35,2511
1996,4,40,464
1996,4,45,26
1996,5,15,1466
1996,5,20,4593
1996,5,25,8256
1996,5,30,7364
1996,5,35,3002
1996,5,40,454
1996,5,45,31
1996,6,15,454
1996,6,20,1417
1996,6,25,2150
1996,6,30,1789
1996,6,35,627
1996,6,40,129
1996,6,45,11
1996,7,15,485
1996,7,20,868
1996,7,25,1052
1996,7,30,790
1996,7,35,368
1996,7,40,51
1996,7,45,0
1996,8,15,178
1996,8,20,686
1996,8,25,1457
1996,8,30,1315
1996,8,35,609
1996,8,40,118
1996,8,45,7
1997,1,15,4125
1997,1,20,14795
1997,1,25,28380
1997,1,30,26327
1997,1,35,11967
1997,1,40,1943
1997,1,45,95
1997,2,15,1932
1997,2,20,8422
1997,2,25,20107
1997,2,30,20223
1997,2,35,8896
1997,2,40,1401
1997,2,45,81
1997,3,15,3129
1997,3,20,9349
1997,3,25,15513
1997,3,30,12826
1997,3,35,5396
1997,3,40,852
1997,3,45,35
1997,4,15,792
1997,4,20,2719
1997,4,25,6053
1997,4,30,5825
1997,4,35,2644
1997,4,40,426
1997,4,45,33
1997,5,15,1378
1997,5,20,4328
1997,5,25,8230
1997,5,30,7487
1997,5,35,3163
1997,5,40,478
1997,5,45,34
1997,6,15,474
1997,6,20,1270
1997,6,25,2049
1997,6,30,1644
1997,6,35,613
1997,6,40,107
1997,6,45,5
1997,7,15,489
1997,7,20,816
1997,7,25,1119
1997,7,30,732
1997,7,35,345
1997,7,40,79
1997,7,45,0
1997,8,15,187
1997,8,20,605
1997,8,25,1378
1997,8,30,1380
1997,8,35,563
1997,8,40,96
1997,8,45,6
1998,1,15,3983
1998,1,20,14028
1998,1,25,28088
1998,1,30,25672
1998,1,35,11950
1998,1,40,2115
1998,1,45,94
1998,2,15,1959
1998,2,20,7954
1998,2,25,19662
1998,2,30,20522
1998,2,35,9272
1998,2,40,1499
1998,2,45,78
1998,3,15,2924
1998,3,20,8925
1998,3,25,15720
1998,3,30,13140
1998,3,35,5663
1998,3,40,941
1998,3,45,63
1998,4,15,761
1998,4,20,2737
1998,4,25,5884
1998,4,30,5788
1998,4,35,2659
1998,4,40,513
1998,4,45,42
1998,5,15,1382
1998,5,20,4157
1998,5,25,8147
1998,5,30,7426
1998,5,35,3318
1998,5,40,547
1998,5,45,43
1998,6,15,419
1998,6,20,1171
1998,6,25,2034
1998,6,30,1639
1998,6,35,735
1998,6,40,135
1998,6,45,12
1998,7,15,455
1998,7,20,820
1998,7,25,1118
1998,7,30,791
1998,7,35,376
1998,7,40,76
1998,7,45,9
1998,8,15,145
1998,8,20,539
1998,8,25,1316
1998,8,30,1248
1998,8,35,593
1998,8,40,116
1998,8,45,4
1999,1,15,4025
1999,1,20,13723
1999,1,25,27919
1999,1,30,26208
1999,1,35,12708
1999,1,40,2315
1999,1,45,142
1999,2,15,1742
1999,2,20,7359
1999,2,25,18647
1999,2,30,20426
1999,2,35,9470
1999,2,40,1601
1999,2,45,75
1999,3,15,2864
1999,3,20,8706
1999,3,25,15247
1999,3,30,13088
1999,3,35,5775
1999,3,40,972
1999,3,45,43
1999,4,15,774
1999,4,20,2596
1999,4,25,5753
1999,4,30,5855
1999,4,35,2602
1999,4,40,537
1999,4,45,40
1999,5,15,1423
1999,5,20,4178
1999,5,25,7947
1999,5,30,7638
1999,5,35,3388
1999,5,40,547
1999,5,45,50
1999,6,15,466
1999,6,20,1183
1999,6,25,1998
1999,6,30,1671
1999,6,35,730
1999,6,40,116
1999,6,45,6
1999,7,15,482
1999,7,20,810
1999,7,25,1080
1999,7,30,792
1999,7,35,363
1999,7,40,89
1999,7,45,4
1999,8,15,144
1999,8,20,607
1999,8,25,1259
1999,8,30,1367
1999,8,35,691
1999,8,40,126
1999,8,45,1
2000,1,15,3658
2000,1,20,13104
2000,1,25,27515
2000,1,30,27059
2000,1,35,13079
2000,1,40,2415
2000,1,45,140
2000,2,15,1765
2000,2,20,7058
2000,2,25,18385
2000,2,30,20888
2000,2,35,9844
2000,2,40,1615
2000,2,45,90
2000,3,15,2916
2000,3,20,8330
2000,3,25,15416
2000,3,30,13553
2000,3,35,6084
2000,3,40,1048
2000,3,45,50
2000,4,15,774
2000,4,20,2604
2000,4,25,5448
2000,4,30,5880
2000,4,35,2805
2000,4,40,536
2000,4,45,44
2000,5,15,1430
2000,5,20,4269
2000,5,25,7814
2000,5,30,7729
2000,5,35,3490
2000,5,40,629
2000,5,45,16
2000,6,15,447
2000,6,20,1198
2000,6,25,1796
2000,6,30,1566
2000,6,35,680
2000,6,40,131
2000,6,45,7
2000,7,15,506
2000,7,20,770
2000,7,25,1056
2000,7,30,899
2000,7,35,433
2000,7,40,117
2000,7,45,7
2000,8,15,133
2000,8,20,500
2000,8,25,1292
2000,8,30,1336
2000,8,35,649
2000,8,40,128
2000,8,45,8
2001,1,15,3741
2001,1,20,12747
2001,1,25,25653
2001,1,30,26927
2001,1,35,12921
2001,1,40,2519
2001,1,45,150
2001,2,15,1877
2001,2,20,7204
2001,2,25,17049
2001,2,30,21261
2001,2,35,9820
2001,2,40,1801
2001,2,45,96
2001,3,15,2952
2001,3,20,8517
2001,3,25,14775
2001,3,30,14277
2001,3,35,6311
2001,3,40,1112
2001,3,45,62
2001,4,15,759
2001,4,20,2608
2001,4,25,5007
2001,4,30,5823
2001,4,35,2686
2001,4,40,605
2001,4,45,43
2001,5,15,1348
2001,5,20,3925
2001,5,25,7270
2001,5,30,7646
2001,5,35,3450
2001,5,40,645
2001,5,45,40
2001,6,15,547
2001,6,20,1233
2001,6,25,1936
2001,6,30,1871
2001,6,35,822
2001,6,40,181
2001,6,45,2
2001,7,15,509
2001,7,20,774
2001,7,25,1091
2001,7,30,968
2001,7,35,434
2001,7,40,116
2001,7,45,8
2001,8,15,128
2001,8,20,487
2001,8,25,1214
2001,8,30,1268
2001,8,35,642
